GradYear,Student Ref,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA
2018,99481562835088095,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country2, ,2.94,3.29
2018,99481562835088095,2014-2015,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country2, ,3.00,3.27
2018,9115091579070378817,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,3.56,3.04
2018,9115091579070378817,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,3.33,3.11
2017,5934757332303020038,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.25,3.05
2017,5934757332303020038,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.25,3.08
2019,4494563360357826680,2015-2016,B.Sc - Computer Engineering,Semester 1,2015-2016,Graduated,Male,Country5, ,3.75,3.75
2019,4494563360357826680,2015-2016,B.Sc - Computer Engineering,Semester 2,2015-2016,Graduated,Male,Country5, ,3.67,3.71
2019,4494563360357826680,2015-2016,B.Sc - Computer Engineering,Semester 3,2015-2016,Graduated,Male,Country5, ,4.00,3.75
2019,8112101466616965110,2015-2016,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Female,Country3, ,4.00,4.00
2019,8112101466616965110,2015-2016,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Female,Country3, ,4.00,4.00
2019,8112101466616965110,2015-2016,B.Sc - Computer Science,Semester 3,2015-2016,Graduated,Female,Country3, ,4.00,4.00
2014,7284398354917716252,2010-2011,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,2.75,2.53
2014,7284398354917716252,2010-2011,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,2.50,2.52
2014,7284398354917716252,2010-2011,B.Sc - Business Administration,Semester 3,2015-2016,Active,Male,Country0, ,2.00,2.51
2015,7096000712771293417,2011-2012,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,1.50,2.32
2019,5891680224949534666,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,3.25,3.25
2019,5891680224949534666,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,3.11,3.18
2019,5891680224949534666,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,2.50,3.11
2016,5536843232979551433,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.50,3.91
2016,5536843232979551433,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,4.00,3.92
2016,9172720456842642429,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.38,3.07
2016,9172720456842642429,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.63,3.13
2017,1200967793316466179,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.50,3.37
2017,1200967793316466179,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.63,3.41
2017,67757082384816158,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.88,3.63
2017,67757082384816158,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.88,3.67
2017,7204841373758860567,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.00,2.64
2017,7204841373758860567,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,2.00,2.54
2018,917583530612550345,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country0, ,3.72,3.50
2018,917583530612550345,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,3.67,3.54
2017,2269516069658474015,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.75,3.29
2017,2269516069658474015,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.13,3.26
2016,3680286332878918396,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.25,2.75
2016,3680286332878918396,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,2.63,2.73
2016,7121832837127018278,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.88,3.63
2016,7121832837127018278,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.75,3.64
2019,772911614346796842,2015-2016,B.Sc - Mechanical Engineering,Semester 1,2015-2016,Graduated,Male,Country0, ,3.13,3.13
2019,772911614346796842,2015-2016,B.Sc - Mechanical Engineering,Semester 2,2015-2016,Graduated,Male,Country0, ,3.11,3.12
2019,772911614346796842,2015-2016,B.Sc - Mechanical Engineering,Semester 3,2015-2016,Graduated,Male,Country0, ,3.67,3.20
2019,1968020161686649252,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country0, ,3.13,3.13
2019,1968020161686649252,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,3.44,3.29
2019,1968020161686649252,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Male,Country0, ,0,3.29
2019,4492232589739105266,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,2.50,2.50
2019,4492232589739105266,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,2.28,2.38
2019,4492232589739105266,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,4.00,2.85
2016,9134239821591101514,2012-2013,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.50,3.48
2016,9134239821591101514,2012-2013,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,3.75,3.52
2017,226324330254800495,2013-2014,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,3.75,3.45
2017,226324330254800495,2013-2014,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0, ,3.75,3.50
2018,1344768090236944537,2014-2015,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country4, ,3.72,3.50
2018,1344768090236944537,2014-2015,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country4, ,3.56,3.51
2016,1802547991219804254,2012-2013,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country2, ,3.50,3.56
